"Points","pépites"
"You must be logged in to redeem points. To proceed to the log-in page press OK.","Vous devez être connecté pour échanger des pépites. Pour accéder à la page de connexion, cliquer sur OK"
"You cannot spend more points on this cart.","Vous ne pouvez pas utiliser plus de pépites sur ce panier."
"Points you will earn:","Nombre de pépites que vous obtiendrez:"
"No extra points to earn on this cart.","Pas de pépites supplémentaires à gagner sur ce panier."
"You Will Earn:","Le gain est de:"
"You Will Spend:","Vous dépenserez :"
"Not Enough Points!","Pas assez de pépites!"
"There are currently no products you can purchase using your points.","Il n'y a actuellement aucun produit que vous pouvez acheter avec vos pépites."
"Point Amount:","Montant des pépites :"
"Currency:","Monnaie:"
"Comment:","Commentaire:"
"Send to Friend","Envoyer à un(e) ami(e)"
"My Points","Mes pépites"
"Balance: ","Solde :"
"To Spend: ","À dépenser:"
"You are spending too many points!  You may not be able to checkout.","Vous utilisez trop de pépites ! Vous ne serez peut-être pas en mesure de commander."
"Remaining: ","Restant:"
"You have no points to spend.","Vous n'avez pas de pépites à utiliser."
"You have %s to spend.","Vous avez %s à dépenser."
"You are trying to redeem points without being logged in.  Please log-in or create a new account to spend points.","Vous essayez d'échanger des pépites sans être connecté. S'il vous plaît connectez-vous ou créez un nouveau compte pour utiliser des pépites."
"Please log-in or create an account, to use your points.","S'il vous plaît connectez-vous ou créez un compte, pour utiliser vos pépites."
"Manage My Points","Gérer mes pépites."
"Log-in or create a new account","Se Connecter ou créer un compte"
"Points Summary","Mes Pépites Chocolat Weiss"
"My Points & Rewards","Mes pépites fidélité et gains"
"You have %s in your account.","Vous avez <b>%s</b> sur votre compte."
"%s pending approval are pending approval.","%s en attente d'approbation"
"%s are on hold.","%s en attente."
"Take a look at our rewards catalog today.","Consulter notre catalogue d'articles du programme de fidélité."
"View Review","Voir le commentaire"
"You have no transfers.","Aucune transaction n'a été réalisée."
"Free using <b>%s!</b>","Gratuit en utilisant <b>%s!</b>"
"As low as <b>%s</b> using <b>%s</b>","Dès <b>%s</b> avec <b>%s</b>"
"Earn %s","Recevez %s"
"You have %s","Vous avez %s"
"You could receive %s for writing ","Vous pourriez recevoir %s en écrivant"
"Order ##","Commande ##"
"Unable to find any products tagged with ","Impossible de trouver des articles avec le tag "
"RSS link to %s","Lien RSS à %s"
"Unapproved","Refusé"
"Points Currency Information","Information sur la monnaie des pépites"
"Points Appearance","Apparence des pépites"
"Make Transfer","Effectuer un transfert"
"Give Points","Donner des pépites"
"Are you sure you want to create the transfer for all selected customers?","Etes-vous sûr de vouloir créer un transfert pour tous les clients sélectionnés ?"
"Deduct Points","Déduire des pépites"
"Catalog Points Spending Rules","Règles de distribution des pépites catalogue"
"Add New Catalog Spending Rule","Ajouter une nouvelle règle de distribution catalogue"
"Catalog Points Redemption Rules","Règles d'échange de pépites catalogue"
"Add New Catalog Redemption Rule","Ajouter une nouvelle règle d'échange catalogue"
"Shopping Cart Points Spending Rules","Règles de distribution des pépites panier"
"Add New Cart Spending Rule","Ajouter une nouvelle règle de distribution panier"
"Shopping Cart Points Redemption Rules","Règles d'échange de pépites panier"
"Add New Cart Redemption Rule","Ajouter une nouvelle règle d'échange panier"
"Add New Cart Earning Rule","Ajouter une nouvelle règle de gain panier"
"Special Rule Edit","Modifier règle spéciale"
"Transfer Information","Information sur le transfert"
"Reference Order","Référence commande"
"Reference Poll","Référence sondage"
"Reference Friend","Référence ami"
"Reference Review/Rating","Référence commentaire"
"Reference Other Transfer","Référence autre transfert"
"Reference Product Tag","Référence tag article"
"Items that you don","Articles que vous n'"
"(Products will be added/updated to this store if ","(Ces articles seront ajoutés/modifiés à cette boutique si "
"(When ","(Quand "
"You are currently subscribed to ","Vous êtes actuellement abonné à"
"You Will Spend","Vous dépenserez"
"You cannot use points until you login or create a new account.","Vous ne pouvez pas utiliser de pépites avant de vous identifier ou créer un nouveau compte."
"You don","Vous n'"
"Use Your Points","Utilisez vos pépites"
"costs","coûte"
"You will earn %s for buying this product","Vous gagnerez %s en achetant cet article"
"Stock","Stock"
"Sale items %s to %s of %s.","Vendre les articles %s à %s de %s."
"Showing %s Item(s) on sale.","%s article(s) en solde."
"Currency Appearance","apparence de la monnaie"
"Image Path (relative to store skin)","Chemin de l'image (relative au skin de la boutique)"
"Image Width (px)","Largeur de l'image (px)"
"Image Height (px)","Hauteur de l'image (px)"
"Print Points on Image","Afficher les pépites sur l'image"
"Font Path (relative to store skin)","Chemin de la police de caractère (relative au skin de la boutique)"
"Font Size (pt)","Taille de la police de caractère (pt)"
"Font Color (numeric)","Couleur de la police de caractère (en chiffre)"
"Font Left Offset","Marge gauche de la police"
"Font Top Offset","Marge haute de la police"
"Currency Caption","Légende monnaie"
"Plural Currency Caption","Légende monnaies multiples"
"Currency Value","Valeur monétaire"
"Catalog Points Redemption Rule","Règle d'échange de pépites catalogue"
"Catalog Points Distribution Rule","Règle de distribution des pépites catalogue"
"Shopping Cart Points Redemption Rule","Règle d'échange de pépites panier"
"Shopping Cart Points Distribution Rule","Règle de distribution des pépites panier"
"Grant Points","Accorder des pépites"
"Customer...","Client …"
"Customer Group Is... ","Le groupe client est … "
"Date is After...","La date est après ..."
"Date is Before...","La date est avant ..."
"Date is Before: ","La date est avant : "
"Points Currency","Monnaie de pépites"
"Transfer Style","Style de transfert"
"Points Amount","Montant des pépites"
"Post Date","Post Date"
"Successfully cancelled transfer ID #","Annulation du transfert ID # réussit"
"Could not successfully revoke points associated with cancelled order.","Impossible d'annuler les pépites associées à commande annulée."
"Item Discounts","Remises sur article"
"Attribute group with the ,""Avec le groupe d'attribut  """"""""""","Attribute group with the "",""Attribute group with the """""""""""
"Your Points","Vos pépites"
"Reward With Points","Échangez vos pépites"
"Points Amount (X)","Nombre des pépites (X)"
"Monetary Step (Y)","Étape monétaire (Y)"
"Monetary Step Currency","Monnaie des étapes"
"Maximum Total of Points To Transfer (0 for unlimited)","Total maximum de pépites à transférer (0 pour illimité)"
"Quantity Step (Z)","Nombre d'étapes (Z)"
"Clear Selections","Effacer les sélections"
"Shopping Cart Rule Name","Nom de la règle de panier d'achat"
"Catalog Rule Name","Nom de la règle de catalogue"
"Points Rule ID","ID de la règle de pépites"
"Points & Rewards","Mes pépites & Cadeaux"
"Uses Allowed Per Product (0 for unlimted)","Utilisations autorisées par article (0 pour illimité)"
"Product Conditions","Conditions article"
"Customer Spends Points","Utilisation des pépites clients"
"No Additional Discount--","Pas de réduction supplémentaire--"
"Monetary Step (Y) (in base currency)","Étape monétaire (Y) (en monnaie de base)"
"Review #","Commentaire #"
"Reviewed in (store)","Commentaire dans (boutique)"
"Reviewed On","Commentaire sur"
"Review Title","Titre du commentaire"
"You have earned the following points on this order: ","Vous avez gagné les pépites suivantes sur cette commande :"
"You have spent the following points on this order:","Vous avez utilisé les pépites suivantes sur cette commande :"
"Your point transactions are currently pending and will be approved","Vos transactions de pépites sont actuellement en attente et seront approuvées "
"Point Currencies","Monnaie des pépites"
"Distribution Rules","Règles de distribution"
"Point Rules","Règle de pépites"
"Catalog","Catalogue"
"Shopping Cart","Panier d'achat"
"Customer Behavior","Comportement client"
"Redemption Rules","Règles d'échange de pépites"
"Catalog","Catalogue"
"Shopping Cart","Panier d'achat"
"Apply Catalog Rules","Appliquer les règles catalogue"
"Customers' Points","Pépites du client"
"Manage Transfers","Gérer les transferts"
"Redemptions","Échanges"
"Distributions","Distributions"
"All Other Transfers","Tous les autres transferts"
"Create New Transfer","Créer un nouveau transfert"
"Points transfer initiated by the store administrator.","Transfert de pépites engagées par l'administrateur de la boutique"
"zero points","zéro pépites"
"Should the system allow customers to aquire a negative point balance in any point currency?","Le système doit-il permettre aux clients d'acquérir un solde de pépites négatif dans n'importe quelle monnaie ?"
"Can customers use redemptions without being logged in?","Les clients peuvent-ils échanger leurs pépites sans être connectés?"
"Display Settings","Afficher les réglages"
"Show Zero Cart Redemptions","Afficher zéro échanges de pépites panier"
"Show cart redemptions total row when no redemptions are present.","Afficher le total des échanges de pépites panier lorsqu'il n'y a aucun échange."
"Guest Redemptions","Échange de pépites invité"
"Show cart distributions total row when no distributions are present.","Afficher le total des distributions de pépites lorsqu'il n'y a aucune distribution"
"Show Points Sidebar","Afficher le panneau latéral"
"Show Sidebar When Not Logged In","Afficher le panneau latéral en mode non connecté"
"Zero Points Caption","Légende pour zéro pépite"
"# Products In Rewards Catalog","# Articles dans le catalogue de promotion"
"The number of products to show in the mini rewards catalog in the customer points management panel.","Le nombre d'articles à afficher dans le mini-catalogue de promotion sur le panneau de gestion des pépites."
"Initial Transfer Statuses","Statuts transfert initial"
"After Order","Après commande"
"After Review","Après commentaire"
"After Rating","Après notation"
"After Poll","Après sondage"
"After Send Friend","Après envoi à un(e) ami(e)"
"After Tag","Après tag"
"After Newsletter","Après newsletter"
"After Sign up","Après inscription"
"Transfer To Friend","Transfert à un(e) ami(e)"
"Order Fulfillment","Validation de commande"
"Automatically Remove Points On Cancel","Supprimer automatiquement les pépites si annulation"
"When an order is cancelled, should the point transfers associated with these orders be revoked/cancelled as well?","Lorsqu'une commande est annulée, le transfert de pépites, qui lui est associé, doit-il lui aussi être annulé ?"
"Automatically Approve Points on Invoice","Approuver automatiquement les pépites sur la facture"
"Automatically approve all related point transfers when the customer pays for the order.","Approuver automatiquement tous les transferts de pépites lorsque le client paye la commande."
"Automatically Approve Points On Shipment","Approuver automatiquement les pépites à l'expédition"
"Automatically approve all related point transfers when the order has been shipped.","Approuver automatiquement tous les transferts de pépites lorsque la commande a été expédiée."
"Customer Rewards","Cadeaux fidélité client"
"Earning Points","Gains de points"
"Catalog Earning Rules","Règles de gain catalogue"
"Shopping Cart Earning Rules","Règles de gain panier d'achat"
"Customer Behavior Points Rules","Règles de gain comportement clients"
"Add New Customer Behavior Rule","Ajouter une nouvelle règle de gain sur comportement clients"
"Redeeming Points","Échange de pépites"
"Catalog Redeeming Rules","Règles d'échange de pépites catalogue"
"Shopping Cart Redeeming Rules","Règles d'échange de pépites panier"
"Points received for signing up to a newsletter.","Pépites reçues pour l'inscription à la newsletter."
"You cannot send points to yourself!!","Vous ne pouvez pas vous envoyer de pépites à vous même!"
"Transfer #%s is already %s.","Le transfert #%s est déjà %s."
"Transfer #%s cannot be changed from %s to %s.","Le transfert #%s ne peut pas être modifié de %s à %s."
"Try revoking the transfer(s) instead.","Essayez l'annulation du transfert (s) à la place."
"Create And Continue Edit","Créer et continuer à modifier"
"%s are pending approval.","%s sont en attente de validation."
"You could receive %s for writing a review and/or rating this product.","Vous pourriez recevoir %s en écrivant un commentaire et/ou en notant cet article."
"You do not have enough points to spend on this order.","Vous n'avez pas assez de pépites à dépenser pour cette commande."
"You will not be able to earn or spend points when checking out with multiple addresses.","Vous ne serez pas en mesure de gagner ou dépenser des pépites lors de l'achat avec adresses multiples."
"Customer Spending Style","Style de dépense client"
"The customer was credited %s for the order.","Le client a été crédité de %s pour la commande."
"You earned %s for the order you just placed.","Vous avez gagné %s pour la commande que vous venez d'effectuer."
"The customer was deducted %s for the order.","Le client a été prélevé de %s pour la commande."
"You spent %s on the order you just placed.","Vous avez dépensé %s pour la commande que vous venez d'effectuer."
"The customer","Le client"
"Your point transactions are currently pending and will be approved when we finish processing your order.","Votre compte de pépites est inchangé et sera crédité lorsque votre commande sera terminée."
"Can't get customer instance","Impossible d'obtenir le cas client."
"Customer Point Transfers","Transferts de pépites client"
"There are %s in this account.","Il y a %s sur ce compte."
"%s, %s off","%s, %s de réduction"
"New Transfer","Nouveau transfert"
"See product details","Voir les détails"
"Spends X points for every Y dollar amount in profit","Utiliser X pépites pour chaque Y euro de bénéfice"
"For every Y amount of profit spent, deduct X points","Pour chaque Y de bénéfice dépensé, déduire X pépites"
"For every Y dollar in PROFIT, give X points","Pour chaque Y de bénéfice dépensé, donner X pépites"
"New Distribution Rule","Nouvelle règle de distribution de pépites"
"Applicable Distribution Rules","Règle de distribution de pépites applicable"
"There are %s that can be earned from this product.","Il y a %s qui peuvent être gagnées pour cet article."
"Applicable Redemption Rules","Règle d'échange de pépites applicable"
"Configuration","Configuration"
"Sweet Tooth - Points Expiry Notice","Sweet Tooth - Avis d'échéance de pépites"
"Can customers begin to redeem points before they log-in?  They will eventually have to log-in to complete their order either way.","Est-ce que les clients peuvent commencer à échanger des pépites avant de se connecter ? Ils devront quoi qu'il arrive se connecter pour compléter leur commande."
"Customer Account Summary Message","Message récapitulatif du compte client"
"This is the message that the customer sees when logged in in the summary box.  Default is no message (blank).  HTML is valid here.","Ceci est le message que le client voit dans la boîte de résumé lorsqu'il est connecté. Par défaut il n'y a pas de message (vide). Vous pouvez utiliser du HTML ici."
"Show Send Points To A Friend","Montrer les pépites envoyées à un(e)ami(e)"
"Should the customer be given the option to send points to a friend in the customer account panel rewards section?","Est-ce que le client doit avoir la possibilité d'envoyer des pépites à un ami dans la section Cadeaux de son compte ?"
"Show Mini Redemption Catalog","Montrer le mini catalogue d' échanges de pépites"
"Should the mini redemption catalog in the customer account panel rewards section?","Est-ce que le mini catalogue d'échange de pépites doit apparaître dans la section gain du compte client ?"
"Show Points Optimizer","Montrer l'optimiseur de pépites"
"Show the 'as low as XXX with YYY points' message for each applicable product in the catalog product view pages?  This will only show if you have catalog redemption rules present that apply to a particular product.","Afficher la mention 'Dès XXX avec YYY pépites' pour tous les produits applicables des pages du catalogue ? Cela apparaîtra uniquement pour les produits du catalogue qui ont des règles d'échange de pépites appliquées."
"Show the earning graphic in catalog listing","Montrer les graphiques des cadeaux dans les listes du catalogue"
"Expired points balance transfer","Transfert de solde de pépites expirées"
"Default message for mass transfers","Message par défaut pour les transferts en masse"
"Points Balance Expiry","Solde de pépites expirées"
"Enable points balance expiry","Activer le solde de pépites expirées"
"Number of days before points balance expires","Nombre de jours avant que le solde de pépites expire"
"Number of days before first warning e-mail","Nombre de jours avant le premier e-mail d'avertissement"
"E-mail template for first warning e-mail","Modèle d'e-mail pour le premier avertissement"
"Number of days before second warning e-mail","Nombre de jours avant le second e-mail d'avertissement"
"E-mail template for second warning e-mail","Modèle d'e-mail pour le second avertissement"
"Write expiry actions to log","Écrire les actions d'expiration dans le log"
"Writes to var/log/rewards_expire.log when points expire for any customer or when an e-mail is sent","Écrit dans var/log/rewards_expire.log lorsque des pépites expirent pour n'importe quel client ou lorsqu'un e-mail est envoyé"
"The account was innactive for %s so the usable points balance expired.","Le compte était inactif pendant %s et le solde de pépites utilisable a expiré."
"Export Campaign","Exporter la campagne"
"Migration Utilities","utilitaires de migration"
"This will export point currencies, rules and Sweet Tooth configuration.","Ceci exportera les monnaies de pépites, les règles et la configuration de Sweet Tooth."
"Import Campaign","Importer la campagne"
"WARNING: THIS WILL ALSO DELETE ALL YOUR SWEET TOOTH RULES!  Select a .stcampaign file and click 'Save Config' to import.","ATTENTION : CECI VA EGALEMENT SUPPRIMER TOUTES VOS REGLES SWEET TOOTH ! Sélectionnez un fichier .stcampaign et cliquez sur 'Sauvegarder la configuration' pour importer."
"Delete Campaign","Supprimer la campagne"
"Deletes all Sweet Tooth rules","Supprimer toutes les règles Sweet Tooth"
"Migrated from old system.","Migrer depuis un ancien système."
"Maximize my discount with points","Utilisez toutes vos pépites pour obtenir la meilleure offre"
"Spendings","Dépenses"
"Earnings","Cadeaux"
"Use your points on any of these products","Utilisez vos pépites fidélité"
"Friend's Email:","Email de vos amis :"
"Customer Referrals","Filleuls des clients"
"Show Zero Cart Earnings","Montrer les gains nuls dans le panier"
"# Products In Mini Rewards Catalog","# Nombre de produits dans le mini catalogue des récompenses"
"Show the earning graphic in the catalog","Montrer le graphique de gain dans le catalogue"
"Show the 'as low as XXX with YYY points' message for each applicable product in the catalog product listing pages? This will only show if you have catalog redemption rules present that apply to a particular product.","Montrer le message 'Dés XXX avec des YYY pépites'pour chaque produit dans les pages catégories ? Ceci sera montré si vous avez un catalogue d'echange de pépites. "
"Transfer Comments","Commentaires de transfert"
"Points earned from order","Pépites gagnées sur commande"
"Points spent on order","Pépites utilisées sur commande"
"Status transfert initial","Statut initial des transferts"
"Points earned for writing a review or rating a product","Pépites gagnées pour écrire un commentaire ou noter un produit"
"Points earned for participating in a poll","Pépites gagnées pour avoir participé à un sondage"
"Points earned for telling a friend about a product","Pépites gagnées pour l'avoir dit à un ami"
"Points earned for signing up to the site","Pépites gagnées lors de l'inscription"
"Points earned for signing up to the newsletter","Pépites gagnées lors de l'inscription à la newsletter"
"Points earned for tagging a product","Pépites gagnées pour avoir tagué un produit"
"Points sent to a friend","Pépites envoyées à un ami"
"Points received from a friend","Pépites reçues d'un ami"
"Transfer revoked","Transfert annulé"
"Show referral link","Montrer lien de parrainage"
"Show or hide the My Referrals link show in the customer My Account section.","Montrer ou cacher les liens de parainnage dans la section du compte Mon Client"
"Points earned because a referral signed up","Pépites gagnées lors de l'inscription d'un filleul"
"Points earned because a referral made his/her first order","Pépites gagnées sur la première commande d'un filleul"
"Points earned as a percentage of a referral's order","Pépites gagnées comme pourcentage d'une commande d'un filleul"
"Invitation E-mail template"," Modèle d'email d'invitation"
"Referral program","Programme de Parrainage"
"Send referral invitation e-mails with the sender's email","Envoyer des emails d'invitation avec l'adresse email du parrain"
"If set to NO the transactional e-mail sender settings will be used. This can be set to NO to reduce the number of e-mails that get marked as spam.","Si paramétré sur Non, les paramètres d'envoi d'email transactionnel seront utilisés. Ceci peut être paramétré à Non afin de réduire le nombre d'emails considérés comme Spam."
"Notification E-mail template","Modèle d'email de notification "
"Show in onepage checkout","Afficher dans le process de commande onepage"
"Show in create account page","Afficher dans la page de création de compte"
"Enable refer by e-mail","Permettre le parrainage par email"
"Enable referring other customers by e-mail address.","Permettre le parrainage d'autres clients par les adresses emails"
"Show the referral e-mail/code box in the new account creation page.","Afficher l'encart e-mail/code de parrainage dans la page de création de compte client"
"Enable refer by code","Permettre le parrainage par code"
"Enable referring other customers by referral code.","Permettre le parrainage d'autres clients par code de parrainage"
"Enable refer by URL","Permettre le parrainage par URL"
"Enable referring other customers by referral url","Permettre la parrainage d'autres clients par Url."
"Show the invite new customer form in the customer's My Referrals section.","Afficher le formulaire d'invitation de nouveaux clients dans la section parrainage et fidélité."
"Show prefererences section","Afficher la section Préférences"
"Show the prefererences section in the customer's My Referrals section.","Afficher la section Préférences dans la section parrainage du client"
"Show referral history","Afficher l'histoire du parrainage"
"Show referral history in the customer's My Referrals section.","Afficher l'histoire de parrainage dans la section Mes parrainages du client"
